,Created at,User ID,Text
0,2022-10-07 15:25:29+00:00,1578406165553233921,"“There is a blinking neon Hoosier welcome light on, and I spread that message everywhere I go.”

https://t.co/VfhsDik3d5"
1,2022-10-03 17:02:51+00:00,1576981116065497095,"There are 535 European-owned businesses in Indiana that support 117,600 Hoosier jobs. 

This trip presents an opportunity to further these investments in Indiana's growing economy!"
2,2022-10-03 17:02:51+00:00,1576981114065145857,"Gov. Holcomb is in Europe this week on his latest economic development trip, as he looks to once again take Indiana to the world and bring the world to Indiana! 

https://t.co/NXS8ok68E2"
3,2022-09-28 13:34:53+00:00,1575116840082313219,"Yesterday, Gov. Holcomb signed SEA 1209, a bill that will put Indiana on a path toward becoming a leader in clean energy while fostering economic growth and decreasing carbon emissions. 

https://t.co/kBjRueyadU"
4,2022-09-23 18:33:05+00:00,1573379946004840450,Congrats to the Indianapolis International Airport on another well-deserved recognition — making travel easier and more enjoyable for Hoosiers!
5,2022-09-23 18:33:05+00:00,1573379943932755972,"""It’s the third time in four years that the Indianapolis airport has earned the recognition in the J.D. Power North America Airport Satisfaction Survey, and the fifth time overall.""

https://t.co/OuNRaNuFRG"
6,2022-09-21 15:29:40+00:00,1572609009655418883,"Gov. Holcomb was recently on Bloomberg Markets: The Close discussing Indiana's success and strategy in building an economy of the future!

📺 Watch the segment, which runs from about 30:00 - 36:00, by clicking below.

https://t.co/2P3x9YXaoN"
7,2022-09-19 13:25:29+00:00,1571852981326254080,"Today, Gov. Holcomb released the following statement on the passing of Richmond Police Officer Seara Burton. https://t.co/wDHrEHqEdT"
8,2022-09-14 18:17:15+00:00,1570114469845417985,"""The Crossroads of America is where agriculture and innovation perfectly intersect, and precisely where our number one ranked infrastructure program, high quality of place and access to talent all contribute to support Diamond’s impressive goals and growth."""
9,2022-09-14 18:17:15+00:00,1570114468021141504,"Henry, the first dog of Indiana, joined Gov. Holcomb today at the official groundbreaking for Diamond Pet Foods $259 million production center that is expected to create up to 170 new jobs by the end of 2024!

https://t.co/IhbbLxRgwa"
