,Created at,User ID,Text
0,2022-10-04 23:27:04+00:00,1577440196324655105,Literally everything #democrat s touch is blowing up in their faces. Year of #RepublicanParty https://t.co/YCtGCWcUjB
1,2022-08-19 17:49:18+00:00,1560685350728736771,https://t.co/1Uv9nfvWrE
2,2022-08-11 16:16:35+00:00,1557762914509012994,Because their actions do not match their words. https://t.co/pM5UUfU9td
3,2022-08-11 16:13:18+00:00,1557762090953330688,"Do not let them get away with how they spin their lies.. 

@POTUS 
@VP 

We are in a #recession and you are #lying. 
Vote this craziness out https://t.co/0e0t91V5vC"
4,2022-08-11 16:06:59+00:00,1557760497688223744,"I can’t believe that the American people are unable to see the actual state of our country. Everything- EVERYTHING!! Costs more. Real people are suffering. 

Get in touch with your voters- stop the spin https://t.co/fJZdYhZMB5"
5,2022-08-10 15:00:05+00:00,1557381275647868930,How much corruption can we find? https://t.co/ZzUCVjI33h
6,2022-08-10 14:57:26+00:00,1557380609139408896,They will try everything https://t.co/1w1Kt0YLb2
7,2022-08-10 05:02:57+00:00,1557231000140365824,Welcome to the Republican Party https://t.co/6M4Rxrio01
8,2022-08-09 23:09:17+00:00,1557141998326407169,Continues to be the new face of the Republican Party https://t.co/gwq7gnZioc
9,2022-08-09 17:57:03+00:00,1557063423015505923,No one believes you- including my stocks.. https://t.co/49vozuJreQ
10,2022-08-09 17:54:43+00:00,1557062835208855552,"Unless your @SpeakerPelosi @POTUS @HillaryClinton, the Biden family… hypocrites- 

Hey Nancy what about your stocks and your husbands DUI.. only to
Name two events within your household in
The last few weeks. https://t.co/w1nGDx30NV"
11,2022-08-09 17:52:19+00:00,1557062231451394049,I encourage you to learn history-political targeting has never ended well.
12,2022-07-19 22:49:16+00:00,1549526814305001472,I hope so! I want to see Congress holding all of the fascist accountable who took 2 years of our lives. https://t.co/4O3Rl5no4u
13,2022-05-24 18:43:39+00:00,1529171283837177860,Congrats @HungCaoCongress good luck! I’m rooting for you! https://t.co/ODnUWf86cz
14,2022-05-24 14:38:56+00:00,1529109698498158592,They do not care. https://t.co/M690LSOOZ3
15,2022-05-23 22:48:02+00:00,1528870398942937088,Americans do not allow this to continue. Vote- your future depends on the decisions you make. The administration is at fault https://t.co/g8nef4GKEc
16,2022-05-23 15:12:59+00:00,1528755880392638464,Thank you for the wonderful opportunity! District 8 keep fighting this is the year to turn red. https://t.co/LpyuGqNXyX
17,2022-05-21 10:51:35+00:00,1527965321759444994,Today is the day! See ya soon!
18,2022-05-20 22:31:51+00:00,1527779162194382850,Email us at voices@tunnellforcongress.com for a wake up call! Your vote matters! https://t.co/OqVlrsMkM5
19,2022-05-20 19:56:17+00:00,1527740012074246145,"Arrive before 9 to ensure time for parking (8:30 preferred); if you are not in line to register by 9, you will not be eligible to participate.
 
8th District Republican Convention
Saturday, May 21, 9AM-noon
Waterford Event Center, 6715 Commerce St, Springfield, VA 22150 https://t.co/XjlB79GciN"
20,2022-05-19 17:44:07+00:00,1527344361058447361,"DC is out of touch with the American people. Instead of running for The People they are running far left agendas that are destroying our nation. 

https://t.co/i914BURCD3"
21,2022-05-18 18:30:52+00:00,1526993739750821890,Tonight! https://t.co/QYbgciWtTr
22,2022-05-16 14:25:03+00:00,1526207104238886916,Discussing actions should have been months ago. There has been a shortage since March. Instead of responding to the crisis we need leaders who prevent the crisis https://t.co/Zaogn6Ryzn
23,2022-05-16 14:22:16+00:00,1526206401000923139,"Spotted gas over $5 dollars a gallon in Arlington last night.. 

#gasprices #BidenGasCrisis #Bidenflation #BidenGasHike 

How will we continue to afford this?"
24,2022-05-13 20:11:49+00:00,1525207206953725952,Press Release: Recognizing the Brave Men and Women in Blue https://t.co/tqfo3pzZmH
25,2022-05-13 19:58:34+00:00,1525203871471124481,Thousands of police officers are in our district to celebrate #nationalpoliceweek. Thank you officers for your service to your communities. #backtheblue https://t.co/5ALCRAo8bD
26,2022-05-12 17:07:27+00:00,1524798422246739969,"What started in #Virginia has moved across the nation. We are leading the #parentsrights movement. We will continue to fight for our children and transparency in schools

https://t.co/jdAyOl2YCx"
27,2022-05-12 17:03:18+00:00,1524797377785249793,"We have soaring gas and inflation cost- and this is the administrations response.. America last.. again. We must demand new representation. 

https://t.co/r2O7BFTFkI

#BidenWorstPresidentEver 
#BidenGasHike 
#inflation 
#KeystoneXL 
#energyindependance
#VoteThemAllOut2022"
28,2022-05-12 16:01:09+00:00,1524781734474268673,"9 more days! 💪🏻💪🏻 Let’s power through. 

#tunnellforcongress https://t.co/jYrGZ5PkMZ"
29,2022-05-11 18:57:18+00:00,1524463676794806273,Who is believing this is #putinsgashike? https://t.co/DpX0Gq54D4
30,2022-05-11 17:31:07+00:00,1524441988711473152,As a young mother I remember thinking how expensive formula was. I thought that would be the biggest worry. Today- we have to face record inflation and shortages. I never imagined we would live in a country where our shelves are empty and had to worry about how to feed our babies https://t.co/IcyYen6W7r
31,2022-05-10 23:54:22+00:00,1524176050380541952,We have been all over the district making constant contact with our delegates. #phonecalls #mailers #emails #doorknocking #VoteConservative #campaign https://t.co/03wcBsabMk
32,2022-05-10 20:35:28+00:00,1524125992301830147,"On delegate calls today someone told me i had the hutzpah to get it done! 

I think that maybe my new favorite adjective."
33,2022-05-10 15:49:35+00:00,1524054050651705346,"#BidenInflation 
#BidenGasHike 
#BidenIsAFailure 
#BidensAmerica 

Vote them all out. https://t.co/hmKhzg4LnL"
34,2022-05-10 15:46:28+00:00,1524053266497163265,"https://t.co/IWtnG5AdNT

Americans have always been the standard for elections….Until this last couple of years...

We must get back to believing and trusting our elections are secure and the outcomes are a representation of the People."
35,2022-05-09 21:08:39+00:00,1523771958298841088,"Come out for Pizza Night! I would love to get to meet you! 

https://t.co/OLkJQPCegM https://t.co/IIk3vvXIaz"
36,2022-05-07 23:30:08+00:00,1523082787854692358,"Congrats Jim Myles on your win today in District 11!  Our two districts run together frequently and getting to know the candidates from the 11th has been a pleasure! 

The 11th had 5 great candidates congrats to each one of you!
@Matt4VA11 @Manga4Congress https://t.co/8igwAPANJm"
37,2022-05-07 23:01:30+00:00,1523075582128533505,Congrats Jim! Your going to great! You 💯 have my support. Go VA11! https://t.co/O8FIoNfaE2
38,2022-05-07 22:53:15+00:00,1523073503615799296,Thank you @pinesofflorencearlington for hosting our Delegate Meet &amp; Greet. We opened our event up like a town hall. Understanding the voters needs is most important to my campaign. We can change VA8 together! https://t.co/AiqekbImXh
39,2022-05-06 18:10:03+00:00,1522639847365787649,Makes sense https://t.co/IhnjxUnvGn
40,2022-05-05 18:07:50+00:00,1522276901481504770,Take a moment today to pray for our world and your neighbor. We all could benefit from prayer. https://t.co/mjZ0feq2mU
